url;isMobile;score;failedAudits;report;time
=HYPERLINK("https://www.aliexpress.com/");false;45;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.aliexpress.com_2018-02-11.desktop.json%3Fgeneration%3D1518386906695305%26alt%3Dmedia");24.086
=HYPERLINK("https://edition.cnn.com/");false;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.cnn.com_2018-02-11.desktop.json%3Fgeneration%3D1518386911474376%26alt%3Dmedia");41.833
=HYPERLINK("https://edition.cnn.com/");true;36;no-mutation-events;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.cnn.com_2018-02-11.mobile.json%3Fgeneration%3D1518386914031269%26alt%3Dmedia");63.322
=HYPERLINK("http://www.gva.be/");false;18;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.gva.be_2018-02-11.desktop.json%3Fgeneration%3D1518386911136683%26alt%3Dmedia");31.22
=HYPERLINK("http://www.hbvl.be/");false;27;no-mutation-events;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.hbvl.be_2018-02-11.desktop.json%3Fgeneration%3D1518386911820149%26alt%3Dmedia");39.665
=HYPERLINK("https://www.limburger.nl/");false;27;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.limburger.nl_2018-02-11.desktop.json%3Fgeneration%3D1518386904720088%26alt%3Dmedia");29.582
=HYPERLINK("https://www.nasa.gov/");false;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.nasa.gov_2018-02-11.desktop.json%3Fgeneration%3D1518386902404825%26alt%3Dmedia");21.575
=HYPERLINK("https://www.nasa.gov/");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.nasa.gov_2018-02-11.mobile.json%3Fgeneration%3D1518386899250343%26alt%3Dmedia");49.431
=HYPERLINK("https://www.nieuwsblad.be/");false;45;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.nieuwsblad.be_2018-02-11.desktop.json%3Fgeneration%3D1518386911925703%26alt%3Dmedia");58.664
=HYPERLINK("https://www.nytimes.com/");false;27;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.nytimes.com_2018-02-11.desktop.json%3Fgeneration%3D1518386910942101%26alt%3Dmedia");43.764
=HYPERLINK("https://www.paulirish.com/");true;55;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.paulirish.com_2018-02-11.mobile.json%3Fgeneration%3D1518386896827794%26alt%3Dmedia");21.744
=HYPERLINK("https://www.rebeccaminkoff.com/");true;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.rebeccaminkoff.com_2018-02-11.mobile.json%3Fgeneration%3D1518386898170193%26alt%3Dmedia");73.006
=HYPERLINK("http://www.standaard.be/");false;18;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,no-mutation-events,script-blocking-first-paint,font-size;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.standaard.be_2018-02-11.desktop.json%3Fgeneration%3D1518386910016656%26alt%3Dmedia");40.879
=HYPERLINK("http://www.technolink.ga/");true;36;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.technolink.ga_2018-02-11.mobile.json%3Fgeneration%3D1518386895158626%26alt%3Dmedia");11.63
=HYPERLINK("https://www.theverge.com/");false;36;first-meaningful-paint,load-fast-enough-for-pwa,speed-index-metric,screenshot-thumbnails,estimated-input-latency,first-interactive,consistently-interactive,user-timings,offscreen-images,link-blocking-first-paint,no-mutation-events,script-blocking-first-paint;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.theverge.com_2018-02-11.desktop.json%3Fgeneration%3D1518386899339550%26alt%3Dmedia");34.194
=HYPERLINK("https://www.theverge.com/");true;55;no-mutation-events;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.theverge.com_2018-02-11.mobile.json%3Fgeneration%3D1518386907704818%26alt%3Dmedia");88.328
=HYPERLINK("https://www.washingtonpost.com/");false;55;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.washingtonpost.com_2018-02-11.desktop.json%3Fgeneration%3D1518386911829425%26alt%3Dmedia");34.431
=HYPERLINK("https://www.washingtonpost.com/");true;55;;=HYPERLINK("https://lighthouse-keeper.firebaseapp.com/?file=https%3A%2F%2Fwww.googleapis.com%2Fdownload%2Fstorage%2Fv1%2Fb%2Flighthouse-keeper.appspot.com%2Fo%2F2018-02-11%252Fwww.washingtonpost.com_2018-02-11.mobile.json%3Fgeneration%3D1518386912296211%26alt%3Dmedia");57.154
